expected_edge_bps,expected_spread_bps,funding_bps,cost_bps,adverse_buffer_bps
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.45,16.0,0.55,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.440000000000001,16.0,0.5599999999999999,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
-13.43,16.0,0.5700000000000001,28.0,2.0
