policy,ts,leg,side,price,tfi,tfi_abs,recent_cancel_aggressive_count_5s,recent_cancel_aggressive_density_5s,recent_quote_fade_count_5s,recent_tfi_fade_count_5s,recent_guard_count_5s,would_allow,suppress_reason,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
B_tfi_abs_lte_0p5,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p5,0.24454188346862793,cancel_aggressive,1,0,0
C_tfi_abs_lte_0p6,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
D_cancel_density_lte_1p0,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
E_cancel_density_lte_2p0,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
F_guard_count_lte_5,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
A_current,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
B_tfi_abs_lte_0p5,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p5,0.24454188346862793,cancel_aggressive,1,0,0
C_tfi_abs_lte_0p6,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
D_cancel_density_lte_1p0,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
E_cancel_density_lte_2p0,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
F_guard_count_lte_5,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
A_current,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,True,,0.2499082088470459,cancel_aggressive,1,0,0
B_tfi_abs_lte_0p5,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,True,,0.2499082088470459,cancel_aggressive,1,0,0
C_tfi_abs_lte_0p6,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,True,,0.2499082088470459,cancel_aggressive,1,0,0
D_cancel_density_lte_1p0,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,cancel_density_gt_1p0,0.2499082088470459,cancel_aggressive,1,0,0
E_cancel_density_lte_2p0,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,cancel_density_gt_2p0,0.2499082088470459,cancel_aggressive,1,0,0
F_guard_count_lte_5,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,guard_count_gt_5,0.2499082088470459,cancel_aggressive,1,0,0
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,cancel_density_gt_2p0,0.2499082088470459,cancel_aggressive,1,0,0
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017992.0071201,bid,buy,2303.88,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,guard_count_gt_5,0.2499082088470459,cancel_aggressive,1,0,0
A_current,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,True,,0.2499082088470459,cancel_aggressive,1,0,0
B_tfi_abs_lte_0p5,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,True,,0.2499082088470459,cancel_aggressive,1,0,0
C_tfi_abs_lte_0p6,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,True,,0.2499082088470459,cancel_aggressive,1,0,0
D_cancel_density_lte_1p0,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,cancel_density_gt_1p0,0.2499082088470459,cancel_aggressive,1,0,0
E_cancel_density_lte_2p0,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,cancel_density_gt_2p0,0.2499082088470459,cancel_aggressive,1,0,0
F_guard_count_lte_5,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,guard_count_gt_5,0.2499082088470459,cancel_aggressive,1,0,0
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,cancel_density_gt_2p0,0.2499082088470459,cancel_aggressive,1,0,0
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017992.0071201,ask,sell,2310.8,-0.3084370677731673,0.3084370677731673,17,3.4,2,0,19,False,guard_count_gt_5,0.2499082088470459,cancel_aggressive,1,0,0
A_current,1777018051.768666,bid,buy,2304.27,0.7536394176931689,0.7536394176931689,18,3.6,1,1,20,True,,0.23416638374328613,cancel_aggressive,1,0,0
B_tfi_abs_lte_0p5,1777018051.768666,bid,buy,2304.27,0.7536394176931689,0.7536394176931689,18,3.6,1,1,20,False,tfi_abs_gt_0p5,0.23416638374328613,cancel_aggressive,1,0,0
C_tfi_abs_lte_0p6,1777018051.768666,bid,buy,2304.27,0.7536394176931689,0.7536394176931689,18,3.6,1,1,20,False,tfi_abs_gt_0p6,0.23416638374328613,cancel_aggressive,1,0,0
D_cancel_density_lte_1p0,1777018051.768666,bid,buy,2304.27,0.7536394176931689,0.7536394176931689,18,3.6,1,1,20,False,cancel_density_gt_1p0,0.23416638374328613,cancel_aggressive,1,0,0
E_cancel_density_lte_2p0,1777018051.768666,bid,buy,2304.27,0.7536394176931689,0.7536394176931689,18,3.6,1,1,20,False,cancel_density_gt_2p0,0.23416638374328613,cancel_aggressive,1,0,0
F_guard_count_lte_5,1777018051.768666,bid,buy,2304.27,0.7536394176931689,0.7536394176931689,18,3.6,1,1,20,False,guard_count_gt_5,0.23416638374328613,cancel_aggressive,1,0,0
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777018051.768666,bid,buy,2304.27,0.7536394176931689,0.7536394176931689,18,3.6,1,1,20,False,tfi_abs_gt_0p6+cancel_density_gt_2p0,0.23416638374328613,cancel_aggressive,1,0,0
